CC,Tienda, ADT 15-Ago , ADT 16-Ago , ADT 17-Ago ," USD 
Unicornio Frappuccino ", USD Cake Pop Unicornio 
38396,Ciudad Deportiva, 429 , 319 , 455 , 47 , 19 
38398,Mexfund Pedregal, 138 , 112 , 261 , 21 , 9 
38395,Aeropuerto San Jose, 518 , 627 , 592 , 68 , 32 
38399,Carso Polanco I, 381 , 298 , 573 , 52 , 21 
38397,Uruapan, 542 , 524 , 416 , 92 , 38 
38400,Centro Medico ABC Santa Fe, 363 , 286 , 625 , 27 , 17 
38401,Coacalco, 276 , 308 , 215 , 69 , 26 
38402,PeriSur  , 877 , 790 , 712 , 135 , 52 
38404,Varsovia, 195 , 221 , 265 , 17 , 8 
38405,Ejercito Nacional, 236 , 125 , 340 , 25 , 10 
38403,Aeropuerto Cancun Exterior, 292 , 239 , 264 , 36 , 17 
38406,Medica Sur , 425 , 223 , 574 , 17 , 11 
38407,Huexotitla, 443 , 351 , 431 , 84 , 32 
38408,Belisario Dominguez, 455 , 355 , 466 , 87 , 33 
38409,Costa de oro, 424 , 341 , 426 , 82 , 31 
38410,Coatzacoalcos , 406 , 380 , 288 , 90 , 34 
38411,Torres Lindavista, 426 , 413 , 374 , 119 , 43 
38413,Paseo Morelia, 453 , 492 , 320 , 63 , 31 
38414,Park Plaza, 38 , 32 , 326 , 12 , 5 
38412,Macroplaza Tijuana, 533 , 511 , 434 , 75 , 32 
38415,Amsterdam, 380 , 320 , 366 , 30 , 12 
38416,Mixcoac, 217 , 185 , 274 , 29 , 11 
38417,San Jose Insurgentes, 241 , 215 , 346 , 23 , 10 
38418,Plaza Oriente l, 332 , 293 , 275 , 77 , 29 
38419,Balbuena, 414 , 384 , 409 , 82 , 33 
38420,Aeropuerto Cancun Satelite, 672 , 730 , 630 , 52 , 28 
38427,Plaza Satelite, 617 , 536 , 384 , 58 , 26 
38428,Jardines del Pedregal, 171 , 132 , 303 , 25 , 10 
38425,Aeropuerto Tijuana Interior, 564 , 543 , 554 , 29 , 16 
38429,Plaza Aragon, 393 , 366 , 292 , 71 , 27 
38430,Prisma Insurgentes, 231 , 96 , 391 , 24 , 11 
38431,Eduardo Molina, 357 , 371 , 329 , 75 , 28 
38432,Plaza Luis Cabrera, 411 , 385 , 421 , 60 , 21 
38433,Bolsa Mexicana de Valores, 174 , 171 , 412 , 22 , 10 
38438,City Walk, 223 , 206 , 279 , 13 , 6 
38439,Ángeles Interlomas, 270 , 197 , 486 , 15 , 8 
38434,Plaza Carso SLP, 353 , 301 , 250 , 49 , 19 
38435,Paseo Montejo, 432 , 348 , 430 , 67 , 24 
38436,Forum Tlaquepaque, 749 , 689 , 633 , 119 , 47 
38440,Hospital Angeles Metropolitano, 291 , 149 , 316 , 23 , 10 
38441,Metepec Plaza del Parque, 224 , 200 , 233 , 32 , 13 
38442,Sor Juana, 381 , 332 , 419 , 76 , 29 
38444,Hospital Angeles Puebla, 360 , 132 , 515 , 45 , 20 
38445,Samara II, 246 , 196 , 381 , 18 , 8 
38447,Hospital Angeles del Pedregal, 362 , 190 , 540 , 33 , 14 
38448,Urban Center Xalapa, 334 , 310 , 337 , 71 , 27 
38446,Plaza Centinela Mexicali, 453 , 332 , 484 , 68 , 28 
38451,Altabrisa Tabasco, 557 , 527 , 324 , 62 , 26 
38452,Parque Interlomas, 212 , 187 , 256 , 12 , 6 
38449,Patio Patria, 294 , 275 , 289 , 25 , 12 
38450,Macro Ensenada, 311 , 288 , 300 , 43 , 19 
38456,Plaza las Flores, 374 , 335 , 314 , 93 , 34 
38458,El Rosario, 445 , 477 , 399 , 99 , 37 
38453,Poliforum, 226 , 211 , 230 , 30 , 13 
38454,Plaza Las Palmas, 245 , 200 , 260 , 57 , 22 
38460,Santa Monica, 250 , 222 , 271 , 29 , 13 
38457,Plaza La Paz, 420 , 394 , 369 , 49 , 25 
38461,Fuente de Tritones, 252 , 213 , 315 , 45 , 17 
38459,Cd Obregon, 319 , 299 , 319 , 43 , 22 
38463,Uruguay, 232 , 173 , 256 , 39 , 14 
38464,Corporativo Coyoacan, 155 , 93 , 273 , 29 , 12 
38465,Juarez 32, 265 , 219 , 259 , 60 , 22 
38466,Paseo Interlomas I, 272 , 280 , 280 , 32 , 14 
38467,Constituyentes Queretaro, 260 , 176 , 239 , 43 , 17 
38468,Portal Churubusco , 339 , 312 , 339 , 61 , 24 
38469,Galerias Coapa, 539 , 470 , 396 , 90 , 35 
38470,Chapultepec Reforma, 407 , 530 , 108 , 50 , 21 
38471,Angeles Acoxpa , 356 , 223 , 359 , 34 , 14 
38472,Plaza America DT, 602 , 505 , 657 , 115 , 45 
38475,Satelite Centro Civico, 430 , 404 , 427 , 47 , 21 
38477,Zentralia churubusco , 313 , 275 , 309 , 62 , 24 
38473,Outlet Leon, 300 , 367 , 234 , 45 , 20 
38480,Urban Center Juriquilla, 352 , 297 , 386 , 46 , 21 
38476,Galerias Zacatecas, 436 , 433 , 347 , 103 , 41 
38481,Alfonso Reyes, 208 , 183 , 258 , 23 , 9 
38478,Aeropuerto Los Cabos II, 498 , 529 , 512 , 34 , 17 
38479,Palomar, 843 , 750 , 772 , 117 , 50 
38482,Pestalozzi, 331 , 268 , 333 , 39 , 15 
38483,Forum Buenavista, 449 , 379 , 304 , 67 , 25 
38484,Gandhi, 248 , 212 , 250 , 29 , 11 
38485,Sendero Toluca, 445 , 391 , 469 , 71 , 28 
38486,Dorado veracruz, 285 , 290 , 223 , 38 , 17 
